brand_name,model,processor_brand,iter,rating,memory_type,gpu_brand,gpu_type,Touch_Screen,os,virtualization_support,linux_compatible,cuda_support,code_compile_benchmark,display_productivity,threads_num,core_num,ram_num,memory_size,display_size,resolutioin_height,ppi,resolutioin_width,warrenty,development_performance_score,price_to_performance,price
Lenovo,Lenovo V15 G4 ‎83CR000VIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),AMD,Ryzen 7,4.5,SSD,AMD,Integrated,False,Windows 11,True,True,False,Medium,Slow,16.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,48.0,1.2,39990
Samsung,Samsung Galaxy Book 4 NP750XGJ-LG4IN Laptop (13th Gen Intel Core i3-1315U/ 8GB/ 512GB SSD/ Win11),Intel,Core i3,4.4,SSD,Intel,Integrated,False,Windows 11,True,True,False,Slow,Slow,8.0,8.0,8.0,512.0,15.6,1920.0,141.21,1080.0,1.0,32.0,0.87,36990
HP,HP 15-fc0154AU Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),AMD,Ryzen 3,4.7,SSD,AMD,Integrated,False,Windows 11,True,True,False,Slow,Slow,8.0,8.0,8.0,512.0,15.6,1920.0,141.21,1080.0,1.0,32.0,1.06,30290
MSI,MSI Titan 18 HX Gaming Laptop (Intel Core Ultra 9-285HX / 32GB/ 1TB SSD/ Win11 Home/ RTX 5070),Intel,Core Ultra 9,4.75,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Fast,Fast,24.0,24.0,32.0,1000.0,18.0,3840.0,251.57,2400.0,3.0,114.0,0.32,359900
Asus,Asus Vivobook 16X 2023 K3605ZC-MBN544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB RTX3050),Intel,Core i5,4.1,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,16.0,12.0,16.0,512.0,16.0,1920.0,141.51,1200.0,1.0,66.0,1.12,59140
HP,HP Victus 15-fb0112AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),AMD,Ryzen 5,4.15,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,12.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,54.0,0.9,59990
HP,HP B12V5PT Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11),Intel,Core i3,4.7,SSD,Intel,Integrated,False,Windows 11,True,True,False,Slow,Slow,8.0,8.0,16.0,512.0,15.6,1366.0,100.45,768.0,1.0,40.0,1.2,33249
Infinix,Infinix INBook Y3 Max Series YL613 Laptop (12th Gen Core i3/ 16GB/ 256GB SSD/ Win 11),Intel,Core i3,4.4,SSD,Intel,Integrated,False,Windows 11,True,True,False,Slow,Slow,8.0,8.0,16.0,256.0,16.0,1920.0,141.51,1200.0,1.0,40.0,1.6,24999
Lenovo,Lenovo LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),Intel,Core i5,4.15,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,12.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,54.0,0.74,72990
Lenovo,Lenovo LOQ 15IRX9 83DV00LXIN Gaming Laptop (13th Gen Core i7/ 24GB/ 512GB SSD/ Win11/ 8GB RTX4060),Intel,Core i7,4.4,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,14.4,14.0,24.0,512.0,15.6,1920.0,141.21,1080.0,1.0,66.8,0.8960000000000001,99990
MSI,MSI Titan 18 HX AI A2XWIG Gaming Laptop (Intel Core Ultra 9-285HX/ 96GB/ 4TB SSD/ Win11 Pro/ 16GB Graphics RTX 5080),Intel,Core Ultra 9,4.55,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Fast,Fast,24.0,24.0,96.0,4000.0,18.0,3840.0,251.57,2400.0,3.0,178.0,0.36,499999
Samsung,Samsung Galaxy Book 5 Pro 360 Laptop (Intel Core Ultra 7 Series 2/ 16GB/ 1TB SSD/ Win11),Intel,Core Ultra 7,4.75,SSD,Intel,Integrated,True,Windows 11,True,True,False,Medium,Fast,20.4,15.6,16.0,1000.0,16.0,2880.0,212.26,1800.0,1.0,72.8,0.47000000000000003,149990
Acer,Acer Swift Go 14 SFG14-41 NX.KG3SI.006 Laptop (AMD Ryzen 5 7430U / 16GB/ 512GB SSD/ Win11 Pro),AMD,Ryzen 5,4.3,SSD,AMD,Integrated,False,Windows 11,True,True,False,Medium,Medium,12.0,8.0,16.0,512.0,14.0,1920.0,157.35,1080.0,1.0,44.0,1.1,39990
Infinix,Infinix GT Book GL613 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home/ 6GB RTX 3050 Graphics),Intel,Core i5,4.7,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,12.0,8.0,16.0,512.0,16.0,1920.0,141.51,1200.0,1.0,54.0,1.0,53990
HP,HP 255 G9 7B1L8PA Laptop (AMD Ryzen 5 5625U/ 8GB/ 512 GB SSD/ Win11 Home),AMD,Ryzen 5,4.0,SSD,AMD,Integrated,False,Windows 11,True,True,False,Medium,Slow,12.0,8.0,8.0,512.0,15.6,1366.0,100.45,768.0,1.0,36.0,1.2,29900
Asus,Asus TUF Gaming A15 FA566NCR-HN054WS Laptop (AMD Ryzen 7 7435HS/ 16GB / 512GB SSD/ Win11 Home / 4GB Graph),AMD,Ryzen 7,4.7,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,16.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,58.0,0.87,66990
Lenovo,Lenovo V15 G4 ‎83CQ0006IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),AMD,Ryzen 3,4.55,SSD,AMD,Integrated,False,Windows 11,True,True,False,Slow,Slow,8.0,8.0,8.0,512.0,15.6,1920.0,141.21,1080.0,1.0,32.0,1.21,26490
HP,HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),AMD,Ryzen 7,4.0,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,16.0,8.0,16.0,512.0,16.1,1920.0,136.83,1080.0,1.0,58.0,0.77,74990
Apple,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),Apple,M2,4.15,SSD,Apple,Integrated,False,Mac,False,False,False,Medium,Fast,17.2,8.0,8.0,256.0,13.6,2560.0,224.51,1664.0,1.0,60.0,0.756,75999
Asus,Asus Vivobook 15 X1502VA-BQ837WS Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Intel,Core i7,4.05,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Slow,16.0,10.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,52.0,0.78,66990
HP,HP Victus 15-fb3025AX Gaming Laptop (AMD Ryzen 9 8945HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),AMD,Ryzen 9,4.05,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Fast,Slow,16.0,8.0,16.0,1000.0,15.6,1920.0,141.21,1080.0,1.0,58.0,0.52,111999
HP,HP Victus 15-fb2703tx Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Intel,Core i5,4.05,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,12.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,54.0,0.82,65990
Acer,Acer Aspire 3 A311-45 UN.354SI.006 Laptop (Intel Celeron N4500/ 8GB/ 128GB SSD/ Win11),Intel,Celeron,4.7,SSD,Intel,Integrated,False,Windows 11,True,True,False,Slow,Slow,2.0,8.0,8.0,128.0,11.6,1366.0,135.09,768.0,1.0,26.0,1.63,15990
Tecno,Tecno Megabook S14 Laptop,Qualcomm,Snapdragon,4.0,SSD,Intel,Integrated,False,Windows 11,False,True,False,Slow,Fast,19.6,14.0,8.0,512.0,14.0,2880.0,235.33,1600.0,1.0,65.6,0.6519999999999999,89990
Asus,Asus TUF Gaming A16 Advantage Edition FA617NSR-RL083W Gaming Laptop (AMD Ryzen 7 7435HS/ 16GB/ 512GB SSD/ Win11 Home/ AMD Radeon RTX 7600S),AMD,Ryzen 7,4.65,SSD,AMD,Dedicated,False,Windows 11,True,True,False,Medium,Slow,16.0,8.0,16.0,512.0,16.0,1920.0,141.51,1200.0,1.0,58.0,0.61,94990
Dell,Dell 15 Vostro 3520 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Intel,Core i3,4.6,SSD,Intel,Integrated,False,Windows 11,True,True,False,Slow,Slow,8.0,8.0,8.0,512.0,15.6,1920.0,141.21,1080.0,1.0,32.0,0.91,34990
HP,HP 15s-fc0156AU Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),AMD,Ryzen 5,4.0,SSD,AMD,Integrated,False,Windows 11,True,True,False,Medium,Slow,8.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,40.0,0.94,42490
MSI,MSI Thin 15 B12UCX-1694IN Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB RTX 2050 Graph),Intel,Core i7,4.35,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,16.0,10.0,16.0,512.0,15.6,1920.0,141.21,1080.0,2.0,62.0,1.03,59990
Honor,Honor MagicBook X16 2024 ‎Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Intel,Core i5,4.1,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Slow,12.0,8.0,16.0,512.0,16.0,1920.0,141.51,1200.0,1.0,44.0,0.95,46490
Asus,Asus Vivobook 15 2023 X1504VA-NJ321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Intel,Core i3,4.35,SSD,Intel,Integrated,False,Windows 11,True,True,False,Slow,Slow,8.0,8.0,8.0,512.0,15.6,1920.0,141.21,1080.0,1.0,32.0,0.97,32990
Asus,Asus VivoBook 14 X1404VA-NK804WS Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),Intel,Core i5,4.7,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Medium,12.0,10.0,8.0,512.0,14.0,1920.0,157.35,1080.0,1.0,40.0,0.73,54990
Asus,Asus VivoBook 14 X1404VA-NK760WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),Intel,Core i3,4.75,SSD,Intel,Integrated,False,Windows 11,True,True,False,Slow,Medium,8.0,8.0,8.0,512.0,14.0,1920.0,157.35,1080.0,1.0,32.0,0.82,38990
Asus,Asus Zenbook 14 OLED 2025 UX3405CA-PZ164WS Laptop (Intel Core Ultra 9 285H/ 32GB/ 1TB SSD/ Win11 Home),Intel,Core Ultra 9,4.55,SSD,Intel,Integrated,True,Windows 11,True,True,False,Fast,Fast,16.0,16.0,32.0,1000.0,14.0,2880.0,242.59,1800.0,1.0,80.0,0.56,142990
HP,HP 245 G9 Laptop (AMD Ryzen 5 5625U/ 16GB RAM/ 512GB SSD/ Win11),AMD,Ryzen 5,4.4,SSD,AMD,Integrated,False,Windows 11,True,True,False,Medium,Slow,12.0,8.0,16.0,512.0,14.0,1366.0,111.94,768.0,1.0,44.0,1.42,30890
Lenovo,Lenovo IdeaPad Slim 3 ‎14IAH8 83EQ0072IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Intel,Core i5,4.5,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Medium,12.0,8.0,16.0,512.0,14.0,1920.0,157.35,1080.0,1.0,44.0,0.88,49999
AGB,AGB Octev GA-9090 Gaming Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win 11/ 2GB Graph),Intel,Core i7,4.45,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,8.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,50.0,1.67,30000
Lenovo,Lenovo ThinkBook 16 G6 21KKA0G1IN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),AMD,Ryzen 7,4.3,SSD,AMD,Integrated,False,Windows 11,True,True,False,Medium,Slow,16.0,8.0,16.0,512.0,16.0,1920.0,141.51,1200.0,1.0,48.0,0.87,54989
Acer,Acer 15 Aspire Lite AL15-41 Laptop (AMD Ryzen 5 5625U/ 16GB/ 512GB SSD/ Win11),AMD,Ryzen 5,4.3,SSD,AMD,Integrated,False,Windows 11,True,True,False,Medium,Slow,12.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,44.0,1.31,33490
Asus,Asus TUF Gaming A15 FA507NUR-LP082W Gaming Laptop (AMD Ryzen 7 7435HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),AMD,Ryzen 7,4.55,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,16.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,58.0,0.66,87990
Lenovo,Lenovo LOQ 15ARP9 83JC0078IN Gaming Laptop (AMD Ryzen 5 7235HS/ 24GB/ 512GB SSD/ Win11/ 6GB RTX 3050 Graph),AMD,Ryzen 5,4.0,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,8.0,8.0,24.0,512.0,15.6,1920.0,141.21,1080.0,1.0,58.0,0.89,65490
HP,HP Omen 16-xd0020AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),AMD,Ryzen 7,4.65,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,16.0,8.0,16.0,1000.0,16.1,1920.0,136.83,1080.0,1.0,58.0,0.52,110990
MSI,MSI Thin 15 B12UC-1692IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB RTX3050 Graph),Intel,Core i5,4.4,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,12.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,2.0,54.0,1.02,52990
Asus,Asus ROG Strix G16 G614JV-N3474WS Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),Intel,Core i7,4.5,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,18.0,14.0,16.0,1000.0,16.0,1920.0,141.51,1200.0,1.0,63.6,0.6199999999999999,118991
Asus,Asus Vivobook 16 X1605ZAC-MB540WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Intel,Core i5,4.4,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Slow,16.0,12.0,16.0,512.0,16.0,1920.0,141.51,1200.0,1.0,56.0,1.06,52599
Samsung,Samsung Galaxy Book 4 np750xgj-kg2in Laptop (13th Gen Intel Core i5-1335U/ 16GB/ 512GB SSD/ Win11),Intel,Core i5,4.05,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Slow,12.0,10.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,48.0,0.94,50990
Apple,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 512GB SSD/ MacOS),Apple,M2,4.2,SSD,Apple,Integrated,False,Mac,False,False,False,Medium,Fast,17.2,8.0,8.0,512.0,13.6,2560.0,224.51,1664.0,1.0,60.0,0.756,77999
Apple,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),Apple,M1,4.6,SSD,Apple,Integrated,False,Mac,False,False,False,Medium,Fast,17.2,8.0,8.0,256.0,13.3,2560.0,226.98,1600.0,1.0,60.0,0.72,63990
Asus,Asus Vivobook 15 X1502VA-BQ838WS Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Intel,Core i7,4.15,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Slow,16.0,10.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,52.0,0.78,66990
HP,HP ‎15-fd0467TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Intel,Core i5,4.2,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Slow,12.0,10.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,48.0,0.8,59990
